Cabinet/Secretariat,Total,%
EXECUTIVE OFFICE OF HOUSING AND LIVABLE COMMUNITIES,12465638.54,79.98%
EXECUTIVE OFFICE OF HEALTH & HUMAN SERVICES,3119986.68,20.02%
