Cabinet/Secretariat,Total,%
EXECUTIVE OFFICE OF HEALTH & HUMAN SERVICES,2242054.21,59.81%
EXECUTIVE OFFICE OF ECONOMIC DEVELOPMENT,1506271.7,40.19%
