Cabinet/Secretariat,Total,%
EXECUTIVE OFFICE OF HEALTH & HUMAN SERVICES,1975370.51,65.94%
EXECUTIVE OFFICE OF ECONOMIC DEVELOPMENT,1020460.75,34.06%
