Cabinet/Secretariat,Total,%
EXECUTIVE OFFICE OF HEALTH & HUMAN SERVICES,2055883.67,68.62%
EXECUTIVE OFFICE OF ECONOMIC DEVELOPMENT,1246039.25,41.59%
