Cabinet/Secretariat,Total,%
EXECUTIVE OFFICE OF PUBLIC SAFETY & HOMELAND SECURITY,8815663.66,45.28%
EXECUTIVE OFFICE OF HOUSING AND LIVABLE COMMUNITIES,7337285.69,37.69%
EXECUTIVE OFFICE OF EDUCATION,1417512.76,7.28%
EXECUTIVE OFFICE FOR ADMINSTRATION & FINANCE,1181554,6.07%
ENVIRONMENTAL AFFAIRS,299911.44,1.54%
EXECUTIVE OFFICE OF HEALTH & HUMAN SERVICES,257251,1.32%
SECRETARY OF STATE,159575.01,0.82%
