Cabinet/Secretariat,Total,%
EXECUTIVE OFFICE OF HOUSING AND LIVABLE COMMUNITIES,6399125.11,69.88%
EXECUTIVE OFFICE OF HEALTH & HUMAN SERVICES,2758803.41,30.12%
