Cabinet/Secretariat,Total,%
EXECUTIVE OFFICE OF HEALTH & HUMAN SERVICES,2295284.38,52.13%
EXECUTIVE OFFICE OF HOUSING AND LIVABLE COMMUNITIES,2107861.47,47.87%
