Cabinet/Secretariat,Total,%
EXECUTIVE OFFICE OF HEALTH & HUMAN SERVICES,2131821.8,46.27%
EXECUTIVE OFFICE OF ECONOMIC DEVELOPMENT,1637084.2,35.53%
EXECUTIVE OFFICE OF HOUSING AND LIVABLE COMMUNITIES,838250.95,18.19%
