RegionID,SizeRank,RegionName,RegionType,StateName,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31,2026-01-31,2026-02-28,2026-03-31,2026-04-30
61,39,West Virginia,state,,9899.0,10187.0,10650.0,11099.0,11429.0,11604.0,11553.0,11373.0,10986.0,10349.0,9691.0,9206.0,9180.0,9430.0,9842.0,10198.0,10422.0,10544.0,10564.0,10451.0,10085.0,9477.0,8904.0,8506.0,8420.0,8269.0,8227.0,8106.0,8086.0,7968.0,7680.0,7184.0,6609.0,6053.0,5763.0,5311.0,5196.0,5084.0,5349.0,5455.0,5624.0,5783.0,5854.0,5811.0,5548.0,5183.0,4668.0,4231.0,4100.0,4233.0,4570.0,4917.0,5199.0,5406.0,5413.0,5421.0,5176.0,4864.0,4482.0,4132.0,3976.0,3923.0,4039.0,4148.0,4242.0,4358.0,4422.0,4514.0,4431.0,4238.0,3966.0,3837.0,3920.0,4077.0,4287.0,4506.0,4708.0,4900.0,5021.0,5099.0,4974.0,4698.0,4367.0,4108.0,4107.0,4233.0,4553.0,4817.0,5098.0,5350.0,5560.0,5647.0,5547.0,5222.0,4877.0,4497.0,4460.0,4596.0
18,40,Hawaii,state,,7935.0,8128.0,8182.0,8072.0,8083.0,8087.0,8031.0,7939.0,7919.0,7930.0,8072.0,8265.0,8531.0,8670.0,8731.0,8740.0,8762.0,8773.0,8762.0,8681.0,8545.0,8335.0,8144.0,8036.0,8086.0,7927.0,7760.0,7610.0,7716.0,7845.0,7827.0,7672.0,7427.0,7140.0,6983.0,6395.0,5902.0,5301.0,5074.0,4841.0,4616.0,4531.0,4463.0,4469.0,4412.0,4251.0,4095.0,3999.0,4085.0,4118.0,4153.0,4199.0,4352.0,4513.0,4550.0,4548.0,4548.0,4549.0,4565.0,4665.0,4672.0,4606.0,4432.0,4395.0,4385.0,4396.0,4371.0,4412.0,4460.0,4554.0,4702.0,4866.0,5085.0,5241.0,5470.0,5713.0,6023.0,6258.0,6424.0,6430.0,6438.0,6432.0,6583.0,6704.0,6992.0,7243.0,7553.0,7715.0,7774.0,7680.0,7503.0,7307.0,7146.0,6991.0,6957.0,6970.0,7098.0,7168.0
39,41,New Hampshire,state,,5336.0,5822.0,6714.0,7613.0,8854.0,9799.0,10405.0,10152.0,9354.0,8230.0,7050.0,6298.0,6231.0,6704.0,7669.0,8645.0,9364.0,9622.0,9561.0,9289.0,8531.0,7313.0,6030.0,5271.0,5262.0,5463.0,5867.0,6232.0,6614.0,6756.0,6624.0,5706.0,4505.0,3165.0,2672.0,2322.0,2423.0,2632.0,3111.0,3562.0,3925.0,4226.0,4211.0,3972.0,3382.0,2637.0,2003.0,1650.0,1806.0,2189.0,2790.0,3327.0,3757.0,3966.0,3872.0,3647.0,3210.0,2711.0,2210.0,1855.0,1822.0,1957.0,2306.0,2641.0,2865.0,2980.0,3012.0,3064.0,2922.0,2566.0,2167.0,1922.0,1943.0,2145.0,2620.0,3169.0,3621.0,3807.0,3887.0,3862.0,3575.0,3026.0,2485.0,2164.0,2214.0,2520.0,3139.0,3793.0,4257.0,4455.0,4469.0,4465.0,4160.0,3589.0,2931.0,2506.0,2480.0,2810.0
28,42,Maine,state,,8693.0,8969.0,9750.0,10753.0,11906.0,12742.0,13072.0,12852.0,12113.0,11358.0,10375.0,9569.0,8962.0,8893.0,9655.0,10634.0,11627.0,12252.0,12559.0,12455.0,11734.0,10543.0,9342.0,8444.0,8133.0,8041.0,8310.0,8683.0,9121.0,9356.0,9250.0,8499.0,7345.0,6002.0,5165.0,4548.0,4360.0,4350.0,4753.0,5672.0,6310.0,6748.0,6435.0,6146.0,5444.0,4554.0,3720.0,3149.0,3052.0,3275.0,3870.0,4628.0,5328.0,5779.0,5779.0,5540.0,5028.0,4410.0,3794.0,3296.0,3140.0,3174.0,3523.0,3914.0,4319.0,4673.0,4903.0,5041.0,4868.0,4449.0,3950.0,3564.0,3414.0,3488.0,3931.0,4635.0,5357.0,5844.0,6084.0,6108.0,5788.0,5181.0,4506.0,3985.0,3863.0,4091.0,4776.0,5584.0,6323.0,6718.0,6871.0,6812.0,6485.0,5832.0,5092.0,4539.0,4409.0,4639.0
50,43,Rhode Island,state,,3952.0,4268.0,4813.0,5387.0,5786.0,6012.0,6080.0,6066.0,5790.0,5253.0,4638.0,4256.0,4282.0,4589.0,5070.0,5452.0,5616.0,5618.0,5582.0,5536.0,5270.0,4766.0,4227.0,3885.0,3850.0,3786.0,3838.0,3877.0,4063.0,4105.0,4058.0,3926.0,3698.0,3299.0,2923.0,2400.0,2179.0,2018.0,2294.0,2460.0,2630.0,2721.0,2804.0,2827.0,2638.0,2258.0,1849.0,1536.0,1553.0,1669.0,1940.0,2176.0,2386.0,2449.0,2378.0,2257.0,2108.0,1869.0,1643.0,1452.0,1427.0,1455.0,1580.0,1667.0,1709.0,1725.0,1738.0,1793.0,1758.0,1631.0,1484.0,1356.0,1361.0,1449.0,1674.0,1929.0,2092.0,2157.0,2212.0,2249.0,2164.0,1904.0,1654.0,1510.0,1600.0,1794.0,2066.0,2292.0,2424.0,2460.0,2452.0,2450.0,2339.0,2069.0,1763.0,1536.0,1519.0,1661.0
35,44,Montana,state,,6905.0,7367.0,8148.0,9099.0,9848.0,10362.0,10361.0,10115.0,9488.0,8648.0,7855.0,7314.0,7200.0,7566.0,8249.0,9058.0,9572.0,9845.0,9727.0,9296.0,8531.0,7648.0,6882.0,6464.0,6499.0,6643.0,7020.0,7345.0,7709.0,7774.0,7458.0,6415.0,5148.0,3990.0,3498.0,3183.0,3190.0,3252.0,3505.0,3796.0,4160.0,4514.0,4527.0,4318.0,3778.0,3183.0,2634.0,2337.0,2355.0,2602.0,3063.0,3652.0,4217.0,4648.0,4727.0,4602.0,4209.0,3766.0,3388.0,3145.0,3134.0,3413.0,3972.0,4651.0,5151.0,5498.0,5597.0,5531.0,5217.0,4797.0,4396.0,4173.0,4211.0,4522.0,5138.0,5900.0,6567.0,6973.0,7093.0,6964.0,6546.0,5941.0,5367.0,4948.0,4956.0,5334.0,6111.0,6911.0,7504.0,7813.0,7817.0,7626.0,7151.0,6459.0,5766.0,5351.0,5422.0,5806.0
13,45,Delaware,state,,5640.0,5998.0,6339.0,6535.0,6461.0,6243.0,5906.0,5748.0,5532.0,5277.0,4967.0,4779.0,4848.0,5024.0,5232.0,5326.0,5308.0,5203.0,5029.0,4864.0,4584.0,4190.0,3884.0,3756.0,3867.0,3776.0,3750.0,3641.0,3637.0,3487.0,3400.0,3282.0,3068.0,2685.0,2394.0,2199.0,2224.0,2299.0,2535.0,2708.0,2887.0,3006.0,3061.0,3019.0,2809.0,2447.0,2103.0,1909.0,2007.0,2163.0,2379.0,2537.0,2664.0,2714.0,2698.0,2651.0,2521.0,2282.0,2069.0,1931.0,1976.0,2032.0,2103.0,2127.0,2133.0,2153.0,2192.0,2271.0,2309.0,2206.0,2070.0,1988.0,2112.0,2272.0,2472.0,2612.0,2680.0,2728.0,2778.0,2835.0,2808.0,2630.0,2470.0,2370.0,2533.0,2771.0,3049.0,3201.0,3276.0,3295.0,3324.0,3369.0,3316.0,3038.0,2740.0,2551.0,2761.0,3082.0
52,46,South Dakota,state,,3485.0,3771.0,4145.0,4499.0,4687.0,4800.0,4751.0,4618.0,4332.0,3931.0,3556.0,3344.0,3389.0,3605.0,4011.0,4408.0,4728.0,4882.0,4931.0,4866.0,4587.0,4144.0,3719.0,3521.0,3641.0,3841.0,4091.0,4206.0,4215.0,4038.0,3753.0,3218.0,2655.0,2129.0,1970.0,1887.0,2014.0,2140.0,2387.0,2563.0,2755.0,2872.0,2876.0,2761.0,2506.0,2128.0,1732.0,1494.0,1532.0,1746.0,2010.0,2260.0,2468.0,2629.0,2640.0,2543.0,2326.0,2066.0,1787.0,1550.0,1504.0,1607.0,1954.0,2336.0,2662.0,2814.0,2829.0,2805.0,2696.0,2494.0,2290.0,2152.0,2229.0,2445.0,2750.0,3038.0,3250.0,3407.0,3475.0,3497.0,3405.0,3189.0,2947.0,2778.0,2844.0,3056.0,3413.0,3599.0,3702.0,3702.0,3785.0,3833.0,3703.0,3428.0,3153.0,3000.0,3096.0,3250.0
37,47,North Dakota,state,,3925.0,4187.0,4538.0,4911.0,5137.0,5280.0,5270.0,5188.0,4959.0,4574.0,4205.0,3919.0,3893.0,4074.0,4452.0,4834.0,5049.0,5173.0,5186.0,5105.0,4823.0,4398.0,3973.0,3725.0,3765.0,3902.0,4129.0,4274.0,4386.0,4306.0,4070.0,3669.0,3208.0,2797.0,2586.0,2448.0,2457.0,2531.0,2677.0,2809.0,2871.0,2933.0,2892.0,2829.0,2625.0,2363.0,2044.0,1851.0,1800.0,1868.0,2034.0,2245.0,2437.0,2598.0,2637.0,2635.0,2467.0,2227.0,1994.0,1815.0,1749.0,1754.0,1873.0,2070.0,2229.0,2362.0,2377.0,2408.0,2318.0,2160.0,1929.0,1775.0,1752.0,1848.0,2050.0,2292.0,2523.0,2677.0,2762.0,2766.0,2627.0,2391.0,2126.0,1917.0,1876.0,1955.0,2156.0,2350.0,2528.0,2647.0,2711.0,2669.0,2553.0,2312.0,2087.0,1932.0,1979.0,2089.0
3,48,Alaska,state,,3310.0,3512.0,3848.0,4210.0,4535.0,4748.0,4646.0,4411.0,3978.0,3517.0,3166.0,3005.0,3171.0,3482.0,3904.0,4222.0,4460.0,4584.0,4526.0,4293.0,3893.0,3479.0,3131.0,2948.0,2939.0,3003.0,3229.0,3485.0,3699.0,3694.0,3469.0,3103.0,2635.0,2227.0,1980.0,1866.0,1875.0,1953.0,2175.0,2452.0,2746.0,2940.0,2920.0,2692.0,2275.0,1835.0,1483.0,1305.0,1366.0,1558.0,1815.0,2135.0,2405.0,2568.0,2465.0,2224.0,1917.0,1621.0,1400.0,1263.0,1300.0,1377.0,1516.0,1679.0,1903.0,2109.0,2164.0,2087.0,1882.0,1653.0,1457.0,1355.0,1381.0,1476.0,1705.0,1998.0,2306.0,2518.0,2544.0,2428.0,2149.0,1853.0,1636.0,1532.0,1609.0,1724.0,1966.0,2217.0,2460.0,2609.0,2607.0,2504.0,2256.0,1933.0,1648.0,1476.0,1506.0,1629.0
12,49,District of Columbia,state,,1850.0,2033.0,2246.0,2324.0,2254.0,2075.0,2055.0,2136.0,2246.0,2105.0,1902.0,1754.0,1829.0,1966.0,2116.0,2183.0,2147.0,2010.0,2042.0,2154.0,2221.0,1982.0,1756.0,1658.0,1743.0,1737.0,1800.0,1857.0,2012.0,2106.0,2278.0,2461.0,2512.0,2335.0,2134.0,2055.0,2175.0,2334.0,2497.0,2611.0,2618.0,2532.0,2596.0,2731.0,2809.0,2481.0,2099.0,1861.0,1966.0,2133.0,2337.0,2453.0,2486.0,2406.0,2414.0,2453.0,2477.0,2254.0,2012.0,1829.0,1870.0,1956.0,2075.0,2108.0,2095.0,2028.0,2069.0,2152.0,2208.0,2026.0,1830.0,1767.0,1923.0,2170.0,2457.0,2661.0,2736.0,2658.0,2684.0,2775.0,2839.0,2676.0,2477.0,2375.0,2551.0,2837.0,3189.0,3365.0,3344.0,3147.0,3089.0,3152.0,3198.0,2945.0,2588.0,2382.0,2489.0,2775.0
58,50,Vermont,state,,5097.0,5151.0,5410.0,5791.0,6531.0,7145.0,7460.0,7342.0,6924.0,6388.0,5787.0,5457.0,5401.0,5542.0,5900.0,6352.0,6774.0,7010.0,7035.0,6895.0,6477.0,5856.0,5252.0,4871.0,4751.0,4631.0,4703.0,4940.0,5321.0,5556.0,5439.0,4624.0,3646.0,2699.0,2465.0,2272.0,2219.0,2143.0,2274.0,2445.0,2635.0,2694.0,2663.0,2459.0,2144.0,1735.0,1429.0,1271.0,1315.0,1399.0,1612.0,1852.0,2084.0,2198.0,2171.0,2094.0,1893.0,1659.0,1418.0,1269.0,1227.0,1229.0,1337.0,1473.0,1602.0,1705.0,1791.0,1871.0,1791.0,1610.0,1433.0,1357.0,1383.0,1438.0,1650.0,1953.0,2305.0,2561.0,2721.0,2793.0,2644.0,2337.0,2016.0,1800.0,1767.0,1824.0,2081.0,2399.0,2757.0,2975.0,3085.0,3067.0,2884.0,2558.0,2213.0,2006.0,1985.0,2055.0
62,51,Wyoming,state,,4613.0,4739.0,5007.0,5314.0,5519.0,5609.0,5512.0,5326.0,4993.0,4562.0,4211.0,3985.0,3970.0,4109.0,4390.0,4680.0,4899.0,5001.0,4953.0,4796.0,4475.0,4115.0,3802.0,3609.0,3618.0,3647.0,3822.0,4004.0,4172.0,4191.0,3983.0,3635.0,3215.0,2855.0,2665.0,2478.0,2391.0,2289.0,2354.0,2486.0,2675.0,2878.0,2905.0,2749.0,2418.0,2083.0,1824.0,1643.0,1595.0,1654.0,1861.0,2186.0,2491.0,2756.0,2814.0,2772.0,2558.0,2320.0,2097.0,1954.0,1901.0,1944.0,2120.0,2364.0,2604.0,2781.0,2848.0,2821.0,2659.0,2466.0,2314.0,2243.0,2246.0,2334.0,2512.0,2766.0,2988.0,3176.0,3256.0,3225.0,3052.0,2823.0,2638.0,2512.0,2523.0,2615.0,2858.0,3144.0,3423.0,3603.0,3640.0,3545.0,3333.0,3053.0,2789.0,2601.0,2557.0,2645.0
